authoryear,yi,vi,coef,se,n,outcome,model_type
delucaverpoorten2015b,0.0404331147538858,2.3228454885897e-4,0.0404331147538858,0.029846251173611,4292,ingrouptrust,Quasi-Experimental
delucaverpoorten2015b,0.018687831107046,2.3250387433739e-4,0.018687831107046,0.0129752309889722,4299,ingrouptrust,Quasi-Experimental
delucaverpoorten2015b,-0.00909074720712024,2.4017168471296e-4,-0.00909074720712024,0.0220961268780735,4164,ingrouptrust,Quasi-Experimental
grossmanetal2015,-4.36051543653696e-5,4.2863266017881e-4,-4.36051543653696e-5,0.0616426527902869,2334,ingrouptrust,Quasi-Experimental
lupupeisakhin2017,0.0628519557050848,0.00101755371152624,0.0628519557050848,0.0326235881237899,976,ingrouptrust,Quasi-Experimental
rohneretal2013,-0.0619484552747165,4.4123588485424e-4,-0.0619484552747165,0.0614191818255495,2250,ingrouptrust,Quasi-Experimental
voorsbulte2014,0.0791570008120476,0.00124528070501919,0.0791570008120476,0.0602614069057745,794,ingrouptrust,Quasi-Experimental
voorsbulte2014,0.0471624606265903,0.00119946548447652,0.0471624606265903,0.0411635050776346,831,ingrouptrust,Quasi-Experimental
wang2019,0.0852906689623042,0.00058941622123215005,0.0852906689623042,0.0447875477085912,1673,ingrouptrust,Quasi-Experimental
barcelopeisakhin2023,0.0497958836304107,0.00131619958797884,0.0497958836304107,0.0362969310950899,757,ingrouptrust,Full
barcelopeisakhin2023,0.0400026168292896,0.00140990401975048,0.0400026168292896,0.0299577154200616,708,ingrouptrust,Full
barceloratnasingham2023,0.0477338756046955,0.00160815532456547,0.0477338756046955,0.0463909449630769,620,ingrouptrust,Full
barceloratnasingham2023,0.109255231370153,0.00157717136312868,0.109255231370153,0.0425860128638556,620,ingrouptrust,Full
bellowsmiguel2006,-0.0268741742453213,1.9041877938992e-4,-0.0268741742453213,0.0136701325253732,5245,ingrouptrust,Full
bellowsmiguel2009,0.0418337021274109,1.9554610389282e-4,0.0418337021274109,0.0205163788430952,5097,ingrouptrust,Full
cassaretal2013,-0.220451222162092,0.004840451096019,-0.220451222162092,0.101670245709228,188,ingrouptrust,Full
childnikolova2020,-0.0175807098603169,1.1253033811653e-4,-0.0175807098603169,0.020013598068794,8882,ingrouptrust,Full
childnikolova2020,8.445175688791e-4,9.58679487662411e-5,8.445175688791e-4,0.0139038592424652,10432,ingrouptrust,Full
cilliersetal2016,-0.0353495957831976,3.3250079121363e-4,-0.0353495957831976,0.0254317797677143,3001,ingrouptrust,Full
delucaverpoorten2015a,0.0274035267039197,2.3979314538405e-4,0.0274035267039197,0.0124495304988548,4165,ingrouptrust,Full
delucaverpoorten2015a,0.0911591980466076,2.3737606983172e-4,0.0911591980466076,0.0272469947041453,4144,ingrouptrust,Full
delucaverpoorten2015a,0.0428784070985556,2.4077483438959e-4,0.0428784070985556,0.0153049422444958,4139,ingrouptrust,Full
delucaverpoorten2015b,0.0404331147538858,2.3228454885897e-4,0.0404331147538858,0.029846251173611,4292,ingrouptrust,Full
delucaverpoorten2015b,0.018687831107046,2.3250387433739e-4,0.018687831107046,0.0129752309889722,4299,ingrouptrust,Full
delucaverpoorten2015b,-0.00909074720712024,2.4017168471296e-4,-0.00909074720712024,0.0220961268780735,4164,ingrouptrust,Full
dyrstad2012a,-4.6521580149102e-4,4.1067744030741e-4,-4.6521580149102e-4,0.013445461081901,2436,ingrouptrust,Full
dyrstad2012b,0.168044569267528,0.00100673719116854,0.168044569267528,0.0869657720101819,939,ingrouptrust,Full
dyrstad2012c,0.0425347146216344,7.8765602317454e-4,0.0425347146216344,0.0165133502217818,1266,ingrouptrust,Full
elbialyetal2022a,-0.0881648582028694,0.0153830364959612,-0.0881648582028694,0.114024439449134,65,ingrouptrust,Full
elbialyetal2022b,0.0295709141453615,0.0175131909950301,0.0295709141453615,0.294900213151323,58,ingrouptrust,Full
gneezyfessler2012,-0.0322345104753577,0.0203657745371863,-0.0322345104753577,0.14000813270361,50,ingrouptrust,Full
gonzaleztraunmuller2023,-0.0279104256046743,9.2534070724137e-4,-0.0279104256046743,0.0285734882977015,1080,ingrouptrust,Full
grossmanetal2015,-4.36051543653696e-5,4.2863266017881e-4,-4.36051543653696e-5,0.0616426527902869,2334,ingrouptrust,Full
hadzicetal2017,0.270781462122674,6.1337928803271e-4,0.270781462122674,0.0333166516538128,1401,ingrouptrust,Full
hallkahn2020,0.233074468805872,0.00113202993573871,0.233074468805872,0.0284113338619212,791,ingrouptrust,Full
kijewski2019,-0.0106825803645919,3.9682931570069e-5,-0.0106825803645919,0.00840386472034997,25195,ingrouptrust,Full
lewistopal2022,0.231029741145807,3.8050929104899e-4,0.231029741145807,0.125235501186261,2356,ingrouptrust,Full
lupupeisakhin2017,0.0628519557050848,0.00101755371152624,0.0628519557050848,0.0326235881237899,976,ingrouptrust,Full
mironovawhitt2018,0.0699581801130053,0.00215737616284328,0.0699581801130053,0.0438969226792832,460,ingrouptrust,Full
mironovawhitt2018,0.286536486081573,0.00810129435401897,0.286536486081573,0.148949189747784,105,ingrouptrust,Full
rohneretal2013,-0.0619484552747165,4.4123588485424e-4,-0.0619484552747165,0.0614191818255495,2250,ingrouptrust,Full
voorsbulte2014,0.0791570008120476,0.00124528070501919,0.0791570008120476,0.0602614069057745,794,ingrouptrust,Full
voorsbulte2014,0.0471624606265903,0.00119946548447652,0.0471624606265903,0.0411635050776346,831,ingrouptrust,Full
wang2019,0.0852906689623042,0.00058941622123215005,0.0852906689623042,0.0447875477085912,1673,ingrouptrust,Full
wernerlambsdorff2020,-0.0217737006597182,0.0101944085375951,-0.0217737006597182,0.111044730632553,99,ingrouptrust,Full
aaskoven2022,0.00235163286151912,7.692222612895e-4,0.00235163286151912,0.0192258602275709,1301,instmistrust,Bivariate
aloyoetal2023,-0.0929721816713972,0.00194997433057183,-0.0929721816713972,0.0388859730901759,505,instmistrust,Bivariate
annanetal2011,0.00285690932784167,0.00202425845385587,0.00285690932784167,0.0456659915730586,495,instmistrust,Bivariate
balcells2012,0.13606261637381,3.3600162585881e-4,0.13606261637381,0.0197382876967736,2868,instmistrust,Bivariate
barcelo2021,0.00708030975417103,0.00114405004684287,0.00708030975417103,0.0348425646171262,875,instmistrust,Bivariate
barcelopeisakhin2023,0.00115048353262154,8.3541967650545e-4,0.00115048353262154,0.028915415985176,1198,instmistrust,Bivariate
